text,sentiment
Amazing location and friendly host.,positive
"Worst stay ever, very noisy.",negative
"Quite good overall, minor issues.",neutral
"Loved the experience, will book again!",positive
Terrible host and very dirty place.,negative
"It was okay, nothing special.",neutral
Amazing location and friendly host.,positive
"Worst stay ever, very noisy.",negative
"Quite good overall, minor issues.",neutral
"Loved the experience, will book again!",positive
Terrible host and very dirty place.,negative
"It was okay, nothing special.",neutral
Amazing location and friendly host.,positive
"Worst stay ever, very noisy.",negative
"Quite good overall, minor issues.",neutral
"Loved the experience, will book again!",positive
Terrible host and very dirty place.,negative
"It was okay, nothing special.",neutral
Amazing location and friendly host.,positive
"Worst stay ever, very noisy.",negative
"Quite good overall, minor issues.",neutral
"Loved the experience, will book again!",positive
Terrible host and very dirty place.,negative
"It was okay, nothing special.",neutral
Amazing location and friendly host.,positive
"Worst stay ever, very noisy.",negative
"Quite good overall, minor issues.",neutral
"Loved the experience, will book again!",positive
Terrible host and very dirty place.,negative
"It was okay, nothing special.",neutral
Amazing location and friendly host.,positive
"Worst stay ever, very noisy.",negative
"Quite good overall, minor issues.",neutral
"Loved the experience, will book again!",positive
Terrible host and very dirty place.,negative
"It was okay, nothing special.",neutral
Amazing location and friendly host.,positive
"Worst stay ever, very noisy.",negative
"Quite good overall, minor issues.",neutral
"Loved the experience, will book again!",positive
Terrible host and very dirty place.,negative
"It was okay, nothing special.",neutral
Amazing location and friendly host.,positive
"Worst stay ever, very noisy.",negative
"Quite good overall, minor issues.",neutral
"Loved the experience, will book again!",positive
Terrible host and very dirty place.,negative
"It was okay, nothing special.",neutral
Amazing location and friendly host.,positive
"Worst stay ever, very noisy.",negative
"Quite good overall, minor issues.",neutral
"Loved the experience, will book again!",positive
Terrible host and very dirty place.,negative
"It was okay, nothing special.",neutral
Amazing location and friendly host.,positive
"Worst stay ever, very noisy.",negative
"Quite good overall, minor issues.",neutral
"Loved the experience, will book again!",positive
Terrible host and very dirty place.,negative
"It was okay, nothing special.",neutral
Amazing location and friendly host.,positive
"Worst stay ever, very noisy.",negative
"Quite good overall, minor issues.",neutral
"Loved the experience, will book again!",positive
Terrible host and very dirty place.,negative
"It was okay, nothing special.",neutral
Amazing location and friendly host.,positive
"Worst stay ever, very noisy.",negative
"Quite good overall, minor issues.",neutral
